Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1007000,ExxonMobil Fuels & Lubricants Company Billings Refinery,3319.0,237,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,45.81,-108.43,37.5
1008042,WAUNA MILL,3319.0,287,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,46.16,-123.41,37.5
1008025,LEAF RIVER CELLULOSE LLC,3164.0,502,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,31.24,-89.05,37.5
1006608,FINCH PAPER LLC,2751.0,257,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,43.31,-73.63,37.5
1006885,Sylvamo Ticonderoga Mill,2713.0,545,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,43.89,-73.4,37.5
1010636,OCI Beaumont LLC,2623.0,31,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,30.02,-94.04,37.5
1005938,"New-Indy Ontario, LLC",2513.0,144,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,150,false,34.05,-117.54,37.5
1007644,"PARK FALLS INDUSTRIAL MANAGEMENT, LLC",2357.0,384,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,45.94,-90.45,37.5
1005732,PORT TOWNSEND PAPER CORP,2337.0,471,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,48.09,-122.8,37.5
1005283,SSAB ALABAMA INCORPORATED,2117.0,44,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",180.0,125,false,30.94,-88.01,37.5
1007046,"Koch Fertilizer Ft. Dodge, LLC",2104.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,42.5,-94.02,37.5
1005991,Ahlstrom-Munksjo NA Specialty Solutions LLC,2094.0,292,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,45.64,-89.35,37.5
1004901,International Paper-Port Wentworth,2030.0,369,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,32.16,-81.16,37.5
1010766,Nucor Steel Louisiana LLC,2023.0,45,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",180.0,125,false,30.08,-90.86,37.5
1006575,"KOCH FERTILIZER BEATRICE, LLC",2013.0,44,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,40.32,-96.84,37.5
1011799,"Methanex USA, LLC - Geismar Methanol Plant",1806.0,12,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",900.0,125,false,30.21,-91.02,37.5
1006534,"POET Biorefining- Arthur, LLC",1737.0,38,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,42.33,-95.35,37.5
